T,h1,h2,T.err,h1.err,h2.err
K,cm,cm,K,cm,cm
293,5.19,2.58,0.05,0.0025,0.0025
295,5.3,2.5
296,5.345,2.44
297,5.42,2.36
298,5.5,2.295
299,5.55,2.34
300,5.645,2.185
301,5.71,2.11
302,5.695,2.02
303,5.88,1.955
304,5.94,1.88
305,6.02,1.81
306,6.135,1.69
307,6.27,1.565
308,6.38,1.47
309,6.49,1.355
310,6.61,1.24
311,6.74,1.1
312,6.89,1
313,7.07,0.83
310.93,6.81,1.05
310.03,6.705,1.19
309.04,6.62,1.295
308,6.49,1.42
307.04,6.38,1.525
305.98,6.26,1.64
305.05,6.16,1.7
303.98,6.06,1.82
303.02,5.95,1.89
302.02,5.885,1.98
301.04,5.795,2.06
300.03,5.705,2.16
299.03,5.65,2.21
298.03,5.55,2.27
297.03,5.47,2.34
296.04,5.41,2.4
295.05,5.34,2.455
294.03,5.28,2.53
293.05,5.22,2.58
